name,phone,address,city,state,website,rating,vertical,source
"Edison Electric, Inc.",(612) 441-2728,"3134 California St NE #126, Minneapolis, MN 55418, USA",Minneapolis,MN,https://www.electrician-minneapolis.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-profile-minneapolis,4.9,electricians,google_places
Advantage Electric,(612) 751-1772,"9257 W River Rd, Minneapolis, MN 55444, USA",Minneapolis,MN,https://advantageelectricmn.com/,5,electricians,google_places
Nordeast Electric,(763) 789-4800,"4219 Central Ave NE, Minneapolis, MN 55421, USA",Minneapolis,MN,https://www.nordeastelectric.com/,4.8,electricians,google_places
"Harrison Electric, Inc.",(763) 544-3300,"3440 Kilmer Ln N, Minneapolis, MN 55441, USA",Minneapolis,MN,https://harrison-electric.com/,4.8,electricians,google_places
HiTec Electric,(952) 926-1501,"6217 Cambridge St, St Louis Park, MN 55416, USA",Minneapolis,MN,http://www.hitecelectricmn.com/,5,electricians,google_places
EarlyBird Electric,(612) 217-7756,"5720 International Pkwy, New Hope, MN 55428, USA",Minneapolis,MN,https://earlybirdelectricians.com/?utm_source=gmb&utm_medium=organic,4.8,electricians,google_places
Skyline Electric,(651) 504-3448,"2500 Cleveland Ave N # J, Roseville, MN 55113, USA",Minneapolis,MN,http://www.skylineelectricmn.com/,4.9,electricians,google_places
Atlantic Electric LLC,(612) 707-3088,"6612 104th Cir N, Minneapolis, MN 55445, USA",Minneapolis,MN,https://www.atlanticelectric.net/,5,electricians,google_places
Randy's Electric & Plumbing,(612) 470-0914,"13400 67th Ave N, Maple Grove, MN 55311, USA",Minneapolis,MN,https://randyselectric.com/,4.8,electricians,google_places
Mill City Electric Co.,(612) 268-1000,"5001 S 28th Ave, Minneapolis, MN 55417, USA",Minneapolis,MN,http://millcityelectric.com/,5,electricians,google_places
Presidential Electric,(612) 403-7145,"2503 Winter St NE, Minneapolis, MN 55413, USA",Minneapolis,MN,https://www.presidentialelectricmn.com/,4.9,electricians,google_places
J-Sim Electric Inc,(612) 735-3138,"8601 73rd Ave N Suite 31, Minneapolis, MN 55428, USA",Minneapolis,MN,http://j-simelectric.com/,5,electricians,google_places
Signature Electric Co,(763) 588-0090,"4675 Balsam Ln N, Plymouth, MN 55442, USA",Minneapolis,MN,http://www.signatureelectric.net/,4.8,electricians,google_places
University Electric Inc,(612) 987-0800,"615 E 28th St Suite 2, Minneapolis, MN 55407, USA",Minneapolis,MN,http://www.universityelectricinc.com/,4.9,electricians,google_places
Brothers Electric,(612) 721-1606,"3447 Cedar Ave, Minneapolis, MN 55407, USA",Minneapolis,MN,http://brotherselectricinc.com/,4.3,electricians,google_places
"LeBrun Electric, Heating & Cooling",(763) 343-6089,"7600 Boone Ave N Suite 65, Brooklyn Park, MN 55428, USA",Minneapolis,MN,https://www.lebrunelectric.com/?utm_source=GBP&utm_medium=organic,4.9,electricians,google_places
